另外年的分数线pnt呢？,历史数据查询
大概多少分然后省排名多少？,是否能被录取
我还能学医吗？治病的那种？,是否能被录取
清华能上么,是否能被录取
有没有可以学的口腔类和医学影像的学校啊？,是否能被录取
能不能上本科的大学？,是否能被录取
请问能填到985学校吗？,是否能被录取
请问能填到211呢？,是否能被录取
想读中南大学或湖南大学的预科。,是否能被录取
地方专项计划被退档还能参加本一批次的录取吗,是否能被录取
云南文科生，分数只比二本线（二三本合并）高了24分，报原二本学校把稳嘛？,是否能被录取
云南考生，文科生，成绩461，有没有机会上二本,是否能被录取
我抱志愿，第一第二前三个志愿都报同一座城市可以吗，风险大吗,是否能被录取
我高考成绩440分，想上中原工学院，有多大把握？,是否能被录取
四川理科过一本线十五分能上重本吗,是否能被录取
云南理科551分，报考矿大，有希望吗,是否能被录取
我考了341离河南本科线差一分，能不能报本科大学，能不能走本科。理科男,是否能被录取
2017年湖北二本录取线是345而我只比录取线高4分，请问我有机会上湖北的二本学校吗？,是否能被录取
2017云南文科494能上二本学校吗？,是否能被录取
今年考了425分，只超了本二线29分，我是学文科的，一名女生，对经济类的，像是金融，财政方面比较感兴趣，请问文科学这样的专业会不会有些困难？,是否能被录取
2017高考理科457分能上青岛大学校企合作么,是否能被录取
贵州少数民族，离二本线还差20分有希望读大学吗？以前其他学校的3本现在都不存在了吗？,是否能被录取
辽宁理科考生502女生想请问一下我这个分数可不可以冲四川农业大学这个学校前两年分挺高的但是去年分降低了在我的分数范围内我可以冲吗？,是否能被录取
520分能上西南医科大学吗？,是否能被录取
我今年四川高考成绩463。想填四川工商学院英语专业，能被录取吗,是否能被录取
各位大神们~我想问一下今年湖南理科考生426分过线2分填怀化学院或者湖南人文科技学院的征集志愿录取机会有多大？,是否能被录取
理科生可以选美术专业吗？,是否能被录取
请问555能上成都理工大学吗,是否能被录取
我是贵州文科考生，我的高考成绩考了494分。超出本科线二本的41分。我想报经济和管理方面的，但是我的数学成绩很差，只有40分。那么请问我被学校了录取的机会大吗？学校是一般的院校，有本地的和外地的。,是否能被录取
文科刚过线二分本科学校有希望吗？求推荐,是否能被录取
儿子高考455，文科，省内排名2001，想选经济学，要报济南大学经济学能录取吗？,是否能被录取
考了560报长安大学保险不,是否能被录取
请问我因为某种原因不能参加高考但我我高中毕业证这对我选择大专有什么影响,是否能被录取
河南，理科考生461分，可以报考西南民族大学吗,是否能被录取
江西文科考生512分报江西师范大学软件工程专业有多大把握？没有选择服从调剂的话，会被退档吗？退档了，后面的志愿也录不到了？是吗？,是否能被录取
高考结束了，分数正好是二本压线，我想问一下这个分数能不能上老三本？老三本和大专哪个比较好一些？老三本和大专有什么区别？,是否能被录取
今年我刚过二本线424理科，想读二本，有多大把握呢？,是否能被录取
我高考刚好压二本线湖南理科424想填二本院校请问有什么我可以上的二本学校吗？,是否能被录取
安徽的征集志愿是线下20分以内，那线下21分能填吗，关键是能否入系统,是否能被录取
我是山东文科考生，今年考了482有机会上本科吗,是否能被录取
如果不服从调剂，我所报的第一志愿大学六个专业都没被录取，会被下一个学校录取吗,是否能被录取
大学都可以转专业么？可以从不好的转到好的么？,是否能被录取
你好请问文科生能填工程类的专业吗？,是否能被录取
四川理科一本线511，考了527能走一本么,是否能被录取
我是理科美术生，艺术分过线了，但是文化课差一分，能报二本不能，,是否能被录取
我第一志愿填大同大学，想学日语或俄语，录取率高么,是否能被录取
差本二6分，能报二本院校吗？,是否能被录取
我想报某所大学的民族预科班该预科在广东是二本以下20分左右招生可我已过了广东二本线超过也能报吗？,是否能被录取
能上大同大学的会计吗,是否能被录取
450分左右，内蒙考生。我可以报一本吗？文科,是否能被录取
我是男生想学护理可以吗？,是否能被录取
老师，你好！我是四川考生，理科女471，可以推荐下稳妥的学校吗,是否能被录取
我河南理科女生考了560分，省排名22754，报考郑州大学可以吗？如果去外地有那些学校？,是否能被录取
四川文科591省排名2286，女生，走兰州大学和苏州大学的可能性大不大,是否能被录取
我在本省是3本能上外省的2本么,是否能被录取
山西省高二本线27分，可以被大同大学录取吗？,是否能被录取
我是广东考生，文科460分，高本科线42分，想冲吉林大学珠海学院录取几率大不大？可服从调剂,是否能被录取
昨天出的高考成绩，差一分上本科线，补录的机会大吗,是否能被录取
高考分数高出一本线22分，上一本的几率大吗，报一本好还是二本好？,是否能被录取
高考332分能上本科吗,是否能被录取
高考488分，有那些可报的211学校吗？,是否能被录取
学建筑必须要有美术基础么？没有可以学么,是否能被录取
体育生高考分数没过专科省控线还能上什么学校该怎么办？,是否能被录取
2017年陕西高考619分省3272名，想上西安交大能填报么？,是否能被录取
理科生应该可以学语言类的吧？,是否能被录取
福建554，排名4930，能不能上南京理工大学呢？,是否能被录取
天津高考2017363分能走本科学校吗,是否能被录取
免费师范生为什么不可以参考研究生未来这个行业行吗？,是否能被录取
今年考了375分能上二本吗？,是否能被录取
我现在是高二，马上高三了，文科，大概可以考个360左右，二本分数线是457，请问还有希望吗,是否能被录取
黑龙江学生，理科，高考预计570多，有希望去哈尔滨工程大学么，在哈尔滨工程大学学工商管理专业可以么，,是否能被录取
我478分，学理的，能考青岛大学吗？,是否能被录取
一本填报不服从专业调剂后是否可录其他学校,是否能被录取
河南文科生445分还能走二本吗？可以推荐几个吗？能走就行，谢谢！,是否能被录取
湖南考生414分，离本二差10分，能有机会上本二吗,是否能被录取
我是今年四川考生，考了449分。请问能不能上山西传媒学院。我不是艺体生,是否能被录取
高考492有什么北京周边学校能上？,是否能被录取
江西文科考生今年高考既二本线差5分江西二三本合并了请问有降分录取的可能吗？明后天填志愿能填吗？,是否能被录取
为什么没有分数线pnt？,历史数据查询
能预测一下今年分数线pnt吗？,历史数据查询
录取最低分pnt是什么概念。,历史数据查询
录取线pnt多少？,历史数据查询
为什么没有2016年数据,历史数据查询
请问怎么查不到sch pnt？,历史数据查询
每个学校的分数线和专业分数线怎么查，,历史数据查询
招生计划,历史数据查询
学校代码怎么查？,历史数据查询
预科生会不会在就业时受到招工单位的歧视呢？,历史数据查询
体育过了本科线后加5分吗,历史数据查询
请问怎么查不到浙江传媒南广学院？,历史数据查询
怎么没有数据？,历史数据查询
为什么没有2016年数据？,历史数据查询
填志愿时，maj代码是什么,历史数据查询
录取预测的名次是根据什么来的？,历史数据查询
志愿君上的学校数据信息与百度搜来的不一样，谁能告诉我，该以哪个为参照？,历史数据查询
sch招生计划,历史数据查询
稳妥和保底的大学，有什么不同吗？,历史数据查询
sch代码怎么查？,历史数据查询
免费师范和免费医疗能报考吗,历史数据查询
这个填报的志愿是模拟的吗？？,历史数据查询
专科学校排名？,历史数据查询
如何避免报考了一本的学校，却上了该校的二本专业？,历史数据查询
一本学校的二本专业是和一本专业一样招生的吗？（专业服从调剂）,历史数据查询
填志愿时可不可以填几个三本填几个专科,历史数据查询
什么是医学影像,历史数据查询
请问一下2017的高考算难吗,历史数据查询
那几个学校实力怎么样,历史数据查询
大学和学院什么区别,历史数据查询
会不会以陕西一本分数报的却是个二本外省学校？,历史数据查询
都是要猜的吗？,历史数据查询
能预测一下今年四川文科分数线吗？,历史数据查询
录取最低分是什么概念。,历史数据查询
军校大概要多少分？,历史数据查询
一本分数线大概多少,历史数据查询
山东省内专科学校排名？,历史数据查询
谁知道2016年的高考分数线急需中……,历史数据查询
有院校极差吗？,历史数据查询
这会儿重庆高考分数一本线预测多少,历史数据查询
一般专业是填服从还是不服从啊,历史数据查询
关于招生政策应该怎样预估该院校的最低录取人数,历史数据查询
为什么没有2016年的分数线及录取人数,历史数据查询
请问今年湖南522相当于去年的多少分？？？,历史数据查询
付28元，怎查往年录取线，专业线,历史数据查询
湖南株洲铁道学院去年高考录取分数线是多少……？,历史数据查询
这个平台为啥只有2015年及以前的录取分数线，2016年的分数线无，在每个大学详情里面也是这样的,历史数据查询
如何查高考的本省排名,历史数据查询
请问山西省的考生考取山西的大学分数会降低多少,历史数据查询
报三本专业代码怎么办？郑州有三本专业的院校？谢谢,历史数据查询
如果我只能考个二本师范，以后毕业后应该只能留在中小学吧,历史数据查询
吉林高考考生成绩561理科想报计算机大，电子信息，通讯中外合作的也行。,历史数据查询
你好，我是2017年河南考生。今年二本分数线是389，可我才考391，只超了少的可怜的两分。三本学校肯定不能上吧，上大专又要考虑专升本。我现在很纠结，很苦恼。因为我已经选好专业啦，可是没合适的学校。再说我想报文秘，还有广告设计，档案学，图书管理之类的，可大专里貌似没有这些专业吧。我该怎么办那？希望您能帮我做一些参考，谢谢(*°??°)=3,历史数据查询
为何好多院校2016年的录取分数线都没有？如何做参考？,历史数据查询
怎样查各院校历年来的专业分数线,历史数据查询
预计今年的分数线会比去年高吗,历史数据查询
我想问一下今年老本二的分数线大概是多少？？？,历史数据查询
河南财经政法大学的专科多少分能上呢？,历史数据查询
青海的考生去外地的学校按照外地的录取分数线还是看本地的录取分数线,历史数据查询
有没有那些一本学校，学校挺好，到报考人数不多的,历史数据查询
考北京大学用多少分？,历史数据查询
我想知道大学的代码和各个专业的代码在哪里查找,历史数据查询
北京师范大学，都有什么专业,历史数据查询
华师今年的投档线大约是多少,历史数据查询
如果第一志愿不同意调剂且没被录取，那是被退档还是直接开始第二志愿的录取,历史数据查询
请问民办大学的学历是不是不被好单位承认,历史数据查询
天津市师范大学最低的录取分数线是多少？,历史数据查询
请问自动化专业毕业后就业是什么方向？,历史数据查询
2018年德宏高等专科学院取分大概多少,历史数据查询
2018年丽江高等专科学院的取分大概是多少,历史数据查询
应该复读还是报考学校?,复读
高考再次失利，我不知道该继续补习还是去上大学,复读
是复读，还是走三本？,复读
因为失利考了上不了二本，该不该重读呢,复读
高考失利，分数还没有达到专科分数线了，还不能复读，该怎么办,复读
不知道能不能上好二本，想复读又害怕明年分数线很高，不知道报什么学校。求帮助,复读
但是考试也失利了，请问我应该复读还是报考学校，推荐几所学校,复读
复读了一年，由于其他因素没考好，可以再去复读吗？,复读
发挥失常要复读么,复读
理综不理想，我不知道要复读还是去上二本学校,复读
有必要复读吗？还有报考哪些学校合适？,复读
我是四川理科考生，高考404分，专科有医学类，师范类还有会计，该选哪些？还是该复读？,复读
高考428分，好尴尬的分，不好报学校，真心想去一个学习气氛好一点的学校、想复读，却又怕复读无果，怎么办呀？,复读
